Name	Group	Lat	Lon	b	bˤ	c	d	dz	dʒ	dʒʰ	dʒˤ	dʝ	dˤ	f	g	gˤ	h	j	k	kʰ	kˤ	k̠	l	lˤ	l̴	m	mˤ	n	nˤ	p	pʰ	pˤ	q	qˤ	r	rː	rˤ	s	sˁ	sˤ	t	ts	tç	tʃ	tʃʰ	tʃˤ	tʰ	tˁ	tˤ	v	vˤ	w	x	y	z	zˁ	zˤ	ç	ð	ðˁ	ðˤ	č	čˤ	ħ	ħˤ	ŋ	ž	ɟ	ɡ	ɢ	ɣ	ɦ	ɫ	ɰ	ɲ	ɸ	ɻˤ	ɾ	ɾˤ	ʁ	ʃ	ʃː	ʋ	ʐ	ʒ	ʔ	ʕ	ʝ	ʟ	β	θ	χ
Sedentary Hatay Arabic	Arabic	36.2	36.15	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Barwar	Neo-Aramaic (Christian NENA)	37.206102	43.111272	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0
Alqosh Neo-Aramaic	Neo-Aramaic (Christian NENA)	36.731334999999994	43.097262	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
Jewish Betanure	Neo-Aramaic (Jewish NENA)	37.103	43.5039625	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0
Maha Khtaya d-Baz	Neo-Aramaic (Christian NENA)	37.45	43.88	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1
Qaraqosh	Neo-Aramaic (Christian NENA)	36.269721999999994	43.3775	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0
Sulemaniyya	Neo-Aramaic (Jewish NENA)	35.53333	45.41667	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0
Jewish Challa	Neo-Aramaic (Jewish NENA)	37.25	43.61666667	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1
Jilu	Neo-Aramaic (Christian NENA)	37.28497995	43.97483826	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bohtan	Neo-Aramaic (Christian NENA)	38.86666667	45.83333333	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
