Name	Group	Lat	Lon	Cons	Vows
Sedentary Hatay Arabic	Arabic	36.2	36.15	p b t d k q (ʔ) h tˤ dˤ dʒ f s z ʃ x ɣ ħ ʕ m n l r w j	
Barwar	Neo-Aramaic (Christian NENA)	37.206102	43.111272	pʰ tʰ kʰ q tʃʰ ʔ p t k tʃ b d g t͡ʃˠ ɾˠ sˠ lˠ mˠ pˠ zˠ  f θ x ħ h s ʃ v ð z ʒ ɣ m n l ɾ w j	i e ɛ a ə o u
Alqosh Neo-Aramaic	Neo-Aramaic (Christian NENA)	36.731335	43.097262	 p t (tʃ) k q (ɦ) b d ɡ (dʒ) <pˤ> tˤ (dʒˤ) <dˤ> (f) θ s ʃ (ħ) h v ð z <ʒ> (ɣ) sˤ ðˤ zˤ m n mˤ  l lˤ r rˤ ʕ j w	iː eː ɛ̝ː æː ɵː uː e ɛ u
Jewish Betanure	Neo-Aramaic (Jewish NENA)	37.103	43.5039625	b p (v) (f) m w d t ð θ z s n l r (dʒ) (tʃ) (ʒ) ʃ j g k q (ʁ) ʕ ʔ h (pˤ) (bˤ) tˤ (dˤ) (ðˤ) (zˤ) sˤ mˤ lˤ  rˤ tʃˤ  ħˤ	i e a aː o ə u uː ay aw əw uw uy
Maha Khtaya d-Baz	Neo-Aramaic (Christian NENA)	37.45	43.88	p pʰ b t tʰ d k kʰ g ʔ tʃ tʃʰ dʒ m n ɾ (f) (v) s z ʃ ʒ χ ʁ h w j l	iː uː u eː oː ə aː a  aw aːw iw əw uw ij aj aːj
Qaraqosh	Neo-Aramaic (Christian NENA)	36.269722	43.3775	p b t d tˤ k g q ʔ θ ð s z sˤ ʃ x ɣ ħ ʕ h d͡ʒ m n l ɾ w j (ɸ) (ðˤ) (t͡ʃ)	i ə e a o u <ay>
Sulemaniyya	Neo-Aramaic (Jewish NENA)	35.53333	45.41667	p t t͡ʃ  k q ʔ b d d͡ʒ g tˤ f s ʃ x ħ z ʒ ɣ ʕ sˤ m n l <lˤ> ɾ (r) w j	æ e i o u
Jewish Challa	Neo-Aramaic (Jewish NENA)	37.25	43.61666667	p b t d k g q ʔ m n r (f) (v) s z ʃ (ʒ) χ (ʁ) ħ ʕ h (tʃ) (dʒ) w j l	a a: e ɪ i o ø u u: y y: we wa: wa wi wɪ ja: ja jɪ je aj aw a:j uj ɪw   
Jilu	Neo-Aramaic (Christian NENA)	37.28497995	43.97483826	p t s ʃ  tʃ k q x b d z dʒ g gˤ pˤ tˤ sˤ tʃˤ m n l r h w y (j)	I ɪ e ɛ a ə ʊ u ɑ o
Bohtan	Neo-Aramaic (Christian NENA)	38.86666667	45.83333333	p b m (f) (v) w t d tˤ s z sˤ l n ɾ <r> ʃ ʒ tʃ dʒ k g x <ɣ> q h ɰ	iː eː æː oː uː ə a u (o) (ɛ) ai̯ au̯ əu̯ oi̯
Koy Sanjaq	Neo-Aramaic (Jewish NENA)	36.0805723	44.5958227	b p f m <mˤ> ʋ d t tˤ z <zˤ> s sˤ n l <lˤ> r rˤ  ç ʝ ʃ (ʒ) j g k q ɢ χ ʕ ħ ʔ h	i e aː o uː a ə u aɪ aʊ uʊ əʊ iʊ eʊ
Urmi modern Syriac	Neo-Aramaic (other)	37.545	45.051	p t s ʃ ts  tʃ k x b v z ʒ <dz> dʒ g dˤ sˤ qˤ m n r l j <h> <w>	 i u e o a
sanandaj	Neo-Aramaic (Jewish NENA)	35.314	46.992	pʰ b tʰ d kʰ g q ʔ  d͡ʒ f v s z  ʃ ʒ x ɣ  h m n l lˤ r <tˤ> <rˤ> <sˤ> (t͡ʃ) (zˤ) (ħ) (rː)	i u e ɘ o æ
The Neo-Aramaic dialect of Peshabur	Neo-Aramaic (Christian NENA)	37.06	42.37	p b t d k g q ʔ s z ʃ χ  ħ h m n l r w j	i e a o u ə aj aw
Ma'lula	Neo-Aramaic (other)	33.839828	36.548939	p t d k g ʔ f s z ʃ ʒ x ɣ ħ ʕ h m n l r w j tˠ kˠ sˠ zˠ t̻ d̻ d̻ˠ	i e a o u iː eː uː oː aː aw ay
Hertevin	Neo-Aramaic (Christian NENA)	37.92	42.35	pʰ tʰ tʃ kʰ q ʔ b d g dʒ tˠ f s ʃ (x) ħ h z ʒ sˠ m n l r w j (k) (ɣ) (ʕ)	ɑ: e: i: o: u: æ e o 
